"","id","fidelidade","sexo","idade","atendimento","sortimento","acessibilidade","preço"
"1","1","nao","feminino",34,"2","2","1","1"
"2","2","nao","feminino",34,"2","2","1","1"
"3","3","nao","masculino",34,"3","2","4","2"
"4","4","nao","feminino",34,"4","3","3","3"
"5","5","nao","feminino",34,"4","3","1","4"
"6","6","nao","feminino",34,"2","3","3","3"
"7","7","nao","feminino",34,"5","1","4","2"
"8","8","nao","feminino",34,"2","3","3","3"
"9","9","nao","feminino",34,"4","3","3","3"
"10","10","nao","feminino",34,"3","2","5","4"
"11","11","nao","feminino",34,"4","3","1","4"
"12","12","nao","feminino",29,"4","1","3","3"
"13","13","nao","feminino",34,"4","3","3","3"
"14","14","nao","feminino",34,"3","5","1","3"
"15","15","nao","feminino",34,"4","4","3","3"
"16","16","nao","masculino",34,"1","4","2","3"
"17","17","nao","feminino",35,"4","3","4","2"
"18","18","nao","feminino",34,"3","2","3","3"
"19","19","nao","feminino",34,"4","1","3","3"
"20","20","nao","feminino",34,"3","2","1","4"
"21","21","nao","feminino",34,"3","2","3","3"
"22","22","nao","feminino",35,"3","2","3","3"
"23","23","nao","feminino",34,"4","3","1","4"
"24","24","nao","masculino",34,"3","2","4","2"
"25","25","nao","feminino",32,"1","3","1","4"
"26","26","nao","feminino",32,"4","3","3","5"
"27","27","nao","feminino",33,"4","1","5","4"
"28","28","nao","feminino",34,"5","1","4","2"
"29","29","nao","feminino",32,"1","3","1","4"
"30","30","nao","feminino",34,"4","4","3","3"
"31","31","nao","feminino",34,"4","4","3","3"
"32","32","nao","feminino",34,"1","5","3","3"
"33","33","nao","feminino",34,"4","4","1","4"
"34","34","nao","feminino",32,"4","3","3","5"
"35","35","nao","feminino",29,"4","1","3","3"
"36","36","nao","feminino",30,"4","3","5","4"
"37","37","nao","feminino",31,"3","1","2","3"
"38","38","nao","feminino",34,"4","1","3","1"
"39","39","nao","masculino",34,"1","4","2","3"
"40","40","nao","feminino",31,"3","1","2","3"
"41","41","nao","feminino",34,"4","3","3","3"
"42","42","nao","feminino",34,"2","4","3","5"
"43","43","nao","feminino",34,"4","1","1","2"
"44","44","nao","masculino",34,"5","1","3","3"
"45","45","nao","feminino",34,"2","2","1","1"
"46","46","nao","feminino",34,"5","1","4","2"
"47","47","nao","feminino",33,"4","1","5","4"
"48","48","nao","feminino",30,"4","3","5","4"
"49","49","nao","feminino",34,"3","2","3","3"
"50","50","nao","feminino",34,"4","4","3","3"
"51","51","nao","feminino",34,"1","5","3","3"
"52","52","nao","feminino",32,"4","3","3","5"
"53","53","nao","feminino",34,"1","5","3","3"
"54","54","nao","feminino",34,"2","3","3","3"
"55","55","nao","feminino",30,"4","3","5","4"
"56","56","nao","feminino",34,"3","2","5","4"
"57","57","nao","feminino",30,"4","3","5","4"
"58","58","nao","masculino",34,"1","1","4","1"
"59","59","nao","feminino",34,"3","2","3","3"
"60","60","nao","feminino",34,"4","3","1","4"
"61","61","nao","feminino",34,"4","1","1","2"
"62","62","nao","feminino",34,"3","2","3","3"
"63","63","nao","feminino",34,"3","2","3","3"
"64","64","nao","feminino",34,"4","3","1","2"
"65","65","nao","feminino",32,"4","3","3","5"
"66","66","nao","feminino",34,"3","2","1","4"
"67","67","nao","feminino",34,"2","4","1","4"
"68","68","nao","feminino",31,"3","1","2","3"
"69","69","nao","feminino",34,"4","1","3","3"
