"","country","code","violations","staff","post","corruption"
"1","Angola","AGO",50,9,"no",1.04750561714172
"2","Angola","AGO",1,9,"yes",1.04750561714172
"3","Albania","ALB",17,3,"no",0.921078979969025
"4","Albania","ALB",0,3,"yes",0.921078979969025
"5","United Arab Emirates","ARE",0,3,"no",-0.779467701911926
"6","United Arab Emirates","ARE",0,3,"yes",-0.779467701911926
"7","Argentina","ARG",5,19,"no",0.223566740751266
"8","Argentina","ARG",0,19,"yes",0.223566740751266
"9","Armenia","ARM",3,4,"no",0.710078179836273
"10","Armenia","ARM",0,4,"yes",0.710078179836273
"11","Australia","AUS",0,12,"no",-2.20597529411316
"12","Australia","AUS",0,12,"yes",-2.20597529411316
"13","Austria","AUT",3,21,"no",-2.02108597755432
"14","Austria","AUT",1,21,"yes",-2.02108597755432
"15","Azerbaijan","AZE",0,5,"no",1.01322174072266
"16","Azerbaijan","AZE",0,5,"yes",1.01322174072266
"17","Burundi","BDI",8,3,"no",0.796786069869995
"18","Burundi","BDI",0,3,"yes",0.796786069869995
"19","Belgium","BEL",3,14,"no",-1.23256719112396
"20","Belgium","BEL",0,14,"yes",-1.23256719112396
"21","Benin","BEN",27,8,"no",0.755596160888672
"22","Benin","BEN",3,8,"yes",0.755596160888672
"23","Burkina Faso","BFA",0,5,"no",0.506680190563202
"24","Burkina Faso","BFA",0,5,"yes",0.506680190563202
"25","Bangladesh","BGD",18,8,"no",0.401820689439774
"26","Bangladesh","BGD",0,8,"yes",0.401820689439774
"27","Bulgaria","BGR",48,6,"no",0.496954768896103
"28","Bulgaria","BGR",1,6,"yes",0.496954768896103
"29","Bahrain","BHR",18,7,"no",-0.406143873929977
"30","Bahrain","BHR",0,7,"yes",-0.406143873929977
"31","Bosnia & Herzegovina","BIH",14,6,"no",0.348884969949722
"32","Bosnia & Herzegovina","BIH",0,6,"yes",0.348884969949722
"33","Belarus","BLR",1,8,"no",0.595989882946014
"34","Belarus","BLR",0,8,"yes",0.595989882946014
"35","Bolivia","BOL",2,9,"no",0.413646847009659
"36","Bolivia","BOL",0,9,"yes",0.413646847009659
"37","Brazil","BRA",67,33,"no",-0.0963300764560699
"38","Brazil","BRA",1,33,"yes",-0.0963300764560699
"39","Bhutan","BTN",6,5,"no",-0.461858689785004
"40","Bhutan","BTN",0,5,"yes",-0.461858689785004
"41","Botswana","BWA",10,8,"no",-0.529295861721039
"42","Botswana","BWA",0,8,"yes",-0.529295861721039
"43","Central African Republic","CAF",0,3,"no",0.545057117938995
"44","Central African Republic","CAF",0,3,"yes",0.545057117938995
"45","Canada","CAN",0,24,"no",-2.50846743583679
"46","Canada","CAN",0,24,"yes",-2.50846743583679
"47","Switzerland","CHE",0,10,"no",-2.58298778533936
"48","Switzerland","CHE",0,10,"yes",-2.58298778533936
"49","Chile","CHL",16,14,"no",-1.19794452190399
"50","Chile","CHL",0,14,"yes",-1.19794452190399
"51","China","CHN",44,69,"no",0.136316165328026
